x,count
a,324
hints,43
crispy,27
fresh,25
spices,21
creamy,19
garlic,19
sides,16
its,12
spicy,11
rice,11
the,11
fries,10
salsa,10
steamed,9
whipped,9
soy,9
tangy,8
savory,8
seasoned,7
sweet,7
aromatic,6
coffee,6
melted,5
pickles,5
dipping,5
coconut,5
salt,5
lime,5
fried,5
shredded,4
flour,4
lemon,4
light,4
cooling,4
ketchup,4
spiced,4
cheese,4
bell,4
ghost,3
naan,3
basmati,3
american,3
tender,3
maple,3
tamarind,3
crushed,3
chocolate,3
herbs,3
condiments,2
smooth,2
potential,2
subtle,2
sugar,2
ice,2
balsamic,2
celery,2
ranch,2
cumin,2
steak,2
pastries,2
chutneys,2
fruity,2
brewed,2
cream,2
various,2
granola,2
crunchy,2
black,2
smoky,2
fluffy,2
breakfast,2
syrup,2
scallions,2
vibrant,2
honey,1
beverages,1
tahini,1
romaine,1
organic,1
citrusy,1
layers,1
italian,1
southern,1
condensed,1
traditional,1
summer,1
deep,1
yogurt,1
guacamole,1
ripe,1
pan,1
carbonated,1
sweetened,1
zesty,1
red,1
rich,1
country,1
espresso,1
papadam,1
almond,1
samosas,1
slivered,1
flavors,1
colorful,1
burgers,1
milk,1
lentils,1
bold,1
cajun,1
vanilla,1
mint,1
their,1
plain,1
lemonade,1
fish,1
shrimp,1
cilantro,1
jasmine,1
curry,1
dark,1
raisins,1
citrus,1
onions,1
channa,1
chicken,1
vinegar,1
clotted,1
spreads,1
shrooms,1
walnuts,1
whole,1
chewy,1
soft,1
buttermilk,1
earthy,1
butter,1
green,1
graham,1
pizza,1
cane,1
half,1
flaky,1
blueberries,1
low,1
vegetables,1
scrambled,1
sesame,1
peanuts,1
onion,1
crusty,1
parsley,1
