,aioli,bacon,bbq,beef,bun,cheddar,cheese,chicken,fries,gravy,ketchup,lettuce,mayo,mushroom,mustard,onion,pickles,ranch,tomato
aioli,8,0,0,1,1,1,0,1,6,0,3,0,2,0,0,0,1,0,0
bbq,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
bitter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
buttery,2,4,0,1,3,4,18,12,12,0,7,1,0,0,1,1,4,4,1
creamy,2,12,0,11,15,10,54,51,41,3,6,18,3,1,3,3,21,11,4
crispy,8,22,1,21,24,13,54,87,71,2,18,20,5,2,8,11,25,15,6
crunchy,0,2,0,3,2,1,7,16,10,0,1,6,0,0,0,3,7,4,1
fried,4,1,0,1,7,2,7,54,20,0,11,7,3,1,3,2,9,5,3
garlic,5,2,0,4,2,3,9,31,16,2,4,2,2,0,0,4,6,3,2
garlicky,3,2,0,5,2,1,14,31,17,0,1,4,2,2,0,5,10,6,5
grilled,2,4,0,6,5,2,14,21,16,0,0,5,0,0,0,0,7,1,0
juicy,1,5,1,13,8,2,10,19,17,0,4,1,1,1,3,3,5,3,0
salty,3,6,0,4,14,2,12,21,21,0,9,6,1,0,4,2,5,1,1
smoked,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0
smoky,2,10,1,6,10,3,7,17,18,0,0,5,2,0,0,2,5,4,1
soft,0,9,1,8,18,4,24,30,30,0,4,12,1,0,2,4,11,2,1
sour,0,0,0,2,0,1,8,9,1,0,0,5,0,0,1,0,0,0,1
spicy,2,5,0,6,10,3,24,70,33,3,1,18,2,1,2,3,19,12,6
sweet,0,7,1,5,6,1,16,29,14,1,4,2,0,1,2,4,3,2,2
tangy,0,3,0,8,7,2,20,39,24,1,7,5,1,0,7,2,18,6,3
tender,0,4,0,6,3,4,14,65,17,0,1,5,1,0,3,5,10,3,2
umami,4,12,1,14,8,8,27,39,36,2,7,6,2,1,2,8,7,4,2
