city_name,restaurant_name,request_time_local,final_delivery_time_local,order_status,dish_name,item_quantity,customizations,customization_cost_local,special_instructions,item_price,order_price,currency,restaurant_tokens,dish_name_clean,customization_clean,dish_name_to_be_processed,dish_description,sugar_level,sodium_level,dish_description_clean
Portland,Gyro Kingdom (NE Davis),2024-12-01T02:37:08.000Z,2024-12-01T02:56:34.000Z,completed,Chicken shawarma gyro,1.0,Spicy Sauce,0.0,,13.95,70.8,USD,"{'gyro', 'kingdom', 'davis'}",chicken shawarma,spicy sauce,chicken shawarma spicy sauce,"The chicken shawarma gyro offers a savory taste with a hint of spice, complemented by the warm, herby aroma of cumin and coriander, while its tender, juicy texture is enveloped in a slightly crispy pita, creating a delightful contrast that enhances each flavorful bite.",,,the chicken shawarma offers savory taste with hint of spice complemented by the warm herby aroma of cumin and coriander while its tender juicy texture is enveloped slightly crispy pita creating delightful contrast that enhances each flavorful bite
Portland,Gyro Kingdom (NE Davis),2024-12-01T02:37:08.000Z,2024-12-01T02:56:34.000Z,completed,Crispy Fries,1.0,,,,9.95,70.8,USD,"{'gyro', 'kingdom', 'davis'}",crispy fries,,crispy fries,"These crispy fries offer a satisfying crunch with each bite, delivering a savory, umami-rich flavor that pairs beautifully with their earthy, roasted aroma, while their golden exterior gives way to a fluffy, tender interior, making them an irresistible side dish.",,,these crispy fries offer satisfying crunch with each bite delivering savory umami rich flavor that pairs beautifully with their earthy roasted aroma while their golden exterior gives way to fluffy tender interior making them an irresistible dish
Portland,Gyro Kingdom (NE Davis),2024-12-01T02:37:08.000Z,2024-12-01T02:56:34.000Z,completed,Chicken Shawarma Plate,1.0,,,,17.95,70.8,USD,"{'gyro', 'kingdom', 'davis'}",chicken shawarma plate,,chicken shawarma plate,"The Chicken Shawarma Plate features tender, succulent chicken marinated in warm spices, delivering a savory taste complemented by the earthy aroma of roasted garlic and herbs, all served atop a fluffy, slightly crispy pita that adds a delightful texture to each bite.",,,the chicken shawarma plate features tender succulent chicken marinated warm spices delivering savory taste complemented by the earthy aroma of roasted garlic and herbs all served atop fluffy slightly crispy pita that adds delightful texture to each bite
Portland,Gyro Kingdom (NE Davis),2024-12-01T02:37:08.000Z,2024-12-01T02:56:34.000Z,completed,Falafel Over Rice Plate,2.0,,,,35.9,70.8,USD,"{'gyro', 'kingdom', 'davis'}",falafel over rice plate,,falafel over rice plate,"This falafel over rice plate features crispy, golden-brown falafel that delivers a savory, umami flavor, complemented by the earthy aroma of herbs like parsley and cumin, all served atop a bed of fluffy, tender rice that absorbs the vibrant spices, creating a satisfying and wholesome meal.",,,this falafel over rice plate features crispy golden brown falafel that delivers savory umami flavor complemented by the earthy aroma of herbs like parsley and cumin all served atop bed of fluffy tender rice that absorbs the vibrant spices creating satisfying and wholesome
Portland,Jack in the Box (4242 Se 82Nd Ave),2024-11-28T01:09:36.000Z,2024-11-28T01:18:20.000Z,completed,Jack's Spicy Chicken® w/ Cheese,1.0,Extra Swiss Cheese,0.75,,10.61,25.05,USD,"{'box', 'jack', 'the', 'ave'}",spicy chicken with cheese,cheese,spicy chicken with cheese cheese,"Jack's Spicy Chicken® w/ Cheese features a savory, spicy flavor profile complemented by a warm, herby aroma, while the crispy coating provides a satisfying crunch that contrasts beautifully with the gooey, melted cheese, creating a delightful balance of heat and richness.",,,spicy chicken with cheese features savory spicy flavor profile complemented by warm herby aroma while crispy coating provides satisfying crunch that contrasts beautifully with gooey melted cheese creating delightful balance of heat and richness
Portland,Jack in the Box (4242 Se 82Nd Ave),2024-11-28T01:09:36.000Z,2024-11-28T01:18:20.000Z,completed,Onion Rings,1.0,,,,6.24,25.05,USD,"{'box', 'jack', 'the', 'ave'}",onion rings,,onion rings,"These onion rings offer a crispy, golden-brown exterior that gives way to a tender, juicy onion inside, delivering a savory, slightly sweet flavor complemented by a warm, earthy aroma, making them a delightful snack or side dish.",,,these onion rings offer crispy golden brown exterior that gives way to tender juicy onion inside delivering savory slightly sweet flavor complemented by warm earthy aroma making them delightful snack or dish
Portland,McDonald's® (Portland/82Nd),2024-11-25T01:15:30.000Z,2024-11-25T01:56:29.000Z,completed,Deluxe Spicy McCrispy™,1.0,"McCrispy™ Filet, Crinkle Cut Pickle, Shredded Lettuce, Potato Roll, Roma Tomato - 3 Slices, Spicy Pepper Sauce",0.0,,7.09,12.77,USD,"{'portland', 'mcdonald'}",spicy mccrispy,mccrispy filet crinkle cut pickle shredded lettuce potato roll roma tomato slices spicy pepper sauce,spicy mccrispy mccrispy filet crinkle cut pickle shredded lettuce potato roll roma tomato slices spicy pepper sauce,"The Deluxe Spicy McCrispy™ features a savory, spicy flavor profile complemented by the earthy aroma of fresh lettuce and tomatoes, all nestled in a soft, fluffy potato roll, while the crispy, crunchy texture of the crinkle-cut pickles adds a delightful contrast, enhancing each bite.",,,the spicy mccrispy features savory spicy flavor profile complemented by the earthy aroma of fresh lettuce and tomatoes all nestled soft fluffy potato roll while the crispy crunchy texture of the crinkle cut pickles adds delightful contrast enhancing each bite
Portland,Shake Shack (West End Portland),2024-11-12T22:00:23.000Z,2024-11-12T22:40:08.000Z,completed,Fountain Soda,1.0,Large Diet Coke,0.6,,4.19,29.07,USD,"{'portland', 'end', 'shake', 'shack', 'west'}",fountain soda,diet coke,fountain soda diet coke,,,,
Portland,Starbucks (10215 Se Stark St),2024-11-07T01:24:09.000Z,2024-11-07T01:59:19.000Z,completed,Iced White Chocolate Mocha,1.0,"Whole Milk, Included Shots, Venti Cup, Whipped Cream, Ice, Included White Chocolate Mocha Sauce, Signature Espresso Roast, 2% Milk",0.0,,6.45,19.95,USD,"{'starbucks', 'stark'}",iced white chocolate mocha,whole milk included shots venti cup whipped cream ice included white chocolate mocha sauce signature espresso roast milk,iced white chocolate mocha whole milk included shots venti cup whipped cream ice included white chocolate mocha sauce signature espresso roast milk,"This Iced White Chocolate Mocha offers a sweet, creamy taste from the white chocolate and whole milk, complemented by the rich, roasted aroma of espresso; its smooth, velvety texture is enhanced by a fluffy layer of whipped cream, making it a refreshing treat on a warm day.",,,this iced white chocolate mocha offers sweet creamy taste from the white chocolate and whole milk complemented by the rich roasted aroma of espresso its smooth velvety texture is enhanced by fluffy layer of whipped cream making it refreshing treat on warm day
Portland,Popeyes (8111 SE Foster Rd),2024-10-01T23:58:28.000Z,2024-10-02T00:22:40.000Z,completed,Blackened ranch sauce,1.0,,,,0.25,21.56,USD,"{'foster', 'popeyes'}",blackened ranch sauce,,blackened ranch sauce,"This blackened ranch sauce offers a creamy, tangy flavor with a hint of smoky spice, complemented by a rich, herby aroma that evokes fresh herbs and roasted garlic, while its velvety texture provides a smooth, indulgent dip perfect for enhancing fried chicken or crispy vegetables.",,,this blackened ranch sauce offers creamy tangy flavor with hint of smoky spice complemented by rich herby aroma that evokes fresh herbs and roasted garlic while its velvety texture provides smooth indulgent dip perfect enhancing fried chicken or crispy vegetables
