trigram,count
savory slightly spicy,39
complemented garlicky aroma,37
flavor profile complemented,30
savory umami flavor,27
spicy flavor profile,22
balance savory slightly,21
savory slightly salty,21
seasoned blend spices,20
slightly spicy flavor,19
slightly spicy flavors,19
sweet flavor profile,19
making popular choice,19
umami flavor profile,17
dish offer balance,17
slightly salty flavor,17
garlicky aroma texture,16
offer balance savory,16
casual dining settings,15
tangy flavor profile,15
chilled pairs well,13
offer savory slightly,13
aroma texture chewy,12
slightly tangy flavor,12
offering savory slightly,12
tangy dipping sauce,12
complemented buttery aroma,12
dish offer savory,12
offer savory umami,12
crispy golden brown,11
popular choice casual,11
spicy flavors complemented,11
juicy beef patty,11
profile complemented garlicky,11
featuring tender chicken,11
making them popular,10
enhancing overall dining,10
overall dining experience,10
choice casual dining,10
flavors complemented garlicky,10
enhancing overall experience,10
american fast food,10
offer sweet slightly,10
until golden brown,9
savory flavor profile,9
crispy french fries,9
texture crunchy outside,9
buttery aroma texture,9
salty umami flavors,9
vanilla ice cream,9
sweet slightly bitter,9
saut ed onions,9
satisfying contrast textures,9
flavor profile hints,9
savory slightly tangy,8
they pair well,8
crispy fried chicken,8
fries soft drink,8
sweet slightly tangy,8
sweet slightly tart,8
texture crispy outside,8
slightly sweet flavor,8
wrapped soft tortilla,8
crispy exterior soft,8
fried achieve crispy,8
achieve crispy texture,8
cuisine featuring tender,8
aroma texture smooth,8
profile complemented buttery,8
salty flavor profile,8
deep fried until,7
fried until golden,7
spices cumin coriander,7
outside tender within,7
exterior soft chewy,7
soft chewy interior,7
beef patty topped,7
indian dish featuring,7
features tender chicken,7
scoop vanilla ice,7
balance salty umami,7
sweet iced tea,7
flavors garlicky aroma,6
garlicky aroma side,6
features crispy fried,6
features crispy chicken,6
aroma chewy texture,6
bell peppers onions,6
blend spices kick,6
offer spicy kick,6
sweet spicy flavors,6
aroma texture crispy,6
south indian dish,6
spices like cumin,6
like cumin coriander,6
garlicky aroma dish,6
offer balance sweet,6
featuring juicy beef,6
savory slightly sweet,6
offer balance salty,6
build your own,6
offer balance spicy,6
dish have slightly,6
slightly chewy texture,6
provides satisfying contrast,6
crunchy outside tender,6
popular fast food,6
dusting powdered sugar,6
sesame seed bun,6
delightful contrast textures,6
dish featuring tender,6
tender chicken pieces,6
offers savory slightly,6
crispy hash browns,6
bed fluffy rice,5
spices offering spicy,5
flavor profile aroma,5
exterior juicy interior,5
chicken sandwich features,5
fried chicken breast,5
umami flavor complemented,5
bright citrusy aroma,5
accompanied crispy french,5
french fries refreshing,5
texture chewy crispy,5
spices kick heat,5
balance sweet spicy,5
features juicy beef,5
chinese cuisine featuring,5
have savory slightly,5
creamy dipping sauce,5
made whole wheat,5
whole wheat flour,5
have slightly crispy,5
dipping sauces like,5
aroma texture crunchy,5
spices cumin turmeric,5
have creamy texture,5
flavors creamy texture,5
sauce infused garlic,5
aromatic hints garlic,5
balance spicy savory,5
spicy savory flavors,5
topped whipped cream,5
cheese saut ed,5
indian cuisine featuring,5
stir fried noodle,5
fried noodle dish,5
soy sauce dish,5
dipping sauce they,5
they make popular,5
deep fried achieve,5
chocolate ice cream,5
enjoyed breakfast item,5
satisfying contrast texture,5
soft chewy texture,5
marinated grilled chicken,4
sides like fries,4
golden brown they,4
seasoned spices cumin,4
features crispy golden,4
blend spices offering,4
golden brown resulting,4
brown resulting crispy,4
side dish they,4
aroma slightly garlicky,4
them popular choice,4
balance sweet slightly,4
dollop whipped cream,4
crispy exterior juicy,4
pico de gallo,4
savory slightly smoky,4
dining settings like,4
chicken wrapped soft,4
have crispy exterior,4
offers creamy texture,4
enhancing overall taste,4
sides like salsa,4
like salsa guacamole,4
lemonade refreshing beverage,4
refreshing beverage made,4
pairs well spicy,4
sandwich features crispy,4
chicken breast seasoned,4
crispy fries refreshing,4
tart flavor profile,4
spicy kick balanced,4
spicy tangy flavor,4
ranch blue cheese,4
resulting crispy exterior,4
featuring marinated chicken,4
popular indian flatbread,4
indian flatbread made,4
flatbread made whole,4
slightly salty flavors,4
cuisine offer balance,4
south asian cuisine,4
dish have creamy,4
creamy texture coconut,4
texture coconut milk,4
spicy savory flavor,4
