city_name,restaurant_name,request_time_local,final_delivery_time_local,order_status,dish_name,item_quantity,customizations,customization_cost_local,special_instructions,item_price,order_price,currency,restaurant_tokens,dish_name_clean,customization_clean,dish_name_to_be_processed,dish_description,sugar_level,sodium_level
Portland,Gyro Kingdom (NE Davis),2024-12-01T02:37:08.000Z,2024-12-01T02:56:34.000Z,completed,Chicken shawarma gyro,1.0,Spicy Sauce,0.0,,13.95,70.8,USD,"{'davis', 'kingdom', 'gyro'}",chicken shawarma,spicy sauce,chicken shawarma spicy sauce,,,
Portland,Gyro Kingdom (NE Davis),2024-12-01T02:37:08.000Z,2024-12-01T02:56:34.000Z,completed,Crispy Fries,1.0,,,,9.95,70.8,USD,"{'davis', 'kingdom', 'gyro'}",crispy fries,,crispy fries,,,
Portland,Gyro Kingdom (NE Davis),2024-12-01T02:37:08.000Z,2024-12-01T02:56:34.000Z,completed,Chicken Shawarma Plate,1.0,,,,17.95,70.8,USD,"{'davis', 'kingdom', 'gyro'}",chicken shawarma plate,,chicken shawarma plate,,,
Portland,Gyro Kingdom (NE Davis),2024-12-01T02:37:08.000Z,2024-12-01T02:56:34.000Z,completed,Falafel Over Rice Plate,2.0,,,,35.9,70.8,USD,"{'davis', 'kingdom', 'gyro'}",falafel over rice plate,,falafel over rice plate,,,
Portland,Jack in the Box (4242 Se 82Nd Ave),2024-11-28T01:09:36.000Z,2024-11-28T01:18:20.000Z,completed,Jack's Spicy Chicken® w/ Cheese,1.0,Extra Swiss Cheese,0.75,,10.61,25.05,USD,"{'box', 'the', 'ave', 'jack'}",spicy chicken with cheese,cheese,spicy chicken with cheese cheese,,,
Portland,Jack in the Box (4242 Se 82Nd Ave),2024-11-28T01:09:36.000Z,2024-11-28T01:18:20.000Z,completed,Onion Rings,1.0,,,,6.24,25.05,USD,"{'box', 'the', 'ave', 'jack'}",onion rings,,onion rings,,,
Portland,McDonald's® (Portland/82Nd),2024-11-25T01:15:30.000Z,2024-11-25T01:56:29.000Z,completed,Deluxe Spicy McCrispy™,1.0,"McCrispy™ Filet, Crinkle Cut Pickle, Shredded Lettuce, Potato Roll, Roma Tomato - 3 Slices, Spicy Pepper Sauce",0.0,,7.09,12.77,USD,"{'portland', 'mcdonald'}",spicy mccrispy,mccrispy filet crinkle cut pickle shredded lettuce potato roll roma tomato slices spicy pepper sauce,spicy mccrispy mccrispy filet crinkle cut pickle shredded lettuce potato roll roma tomato slices spicy pepper sauce,,,
Portland,Shake Shack (West End Portland),2024-11-12T22:00:23.000Z,2024-11-12T22:40:08.000Z,completed,Fountain Soda,1.0,Large Diet Coke,0.6,,4.19,29.07,USD,"{'west', 'end', 'shake', 'portland', 'shack'}",fountain soda,diet coke,fountain soda diet coke,,,
Portland,Starbucks (10215 Se Stark St),2024-11-07T01:24:09.000Z,2024-11-07T01:59:19.000Z,completed,Iced White Chocolate Mocha,1.0,"Whole Milk, Included Shots, Venti Cup, Whipped Cream, Ice, Included White Chocolate Mocha Sauce, Signature Espresso Roast, 2% Milk",0.0,,6.45,19.95,USD,"{'starbucks', 'stark'}",iced white chocolate mocha,whole milk included shots venti cup whipped cream ice included white chocolate mocha sauce signature espresso roast milk,iced white chocolate mocha whole milk included shots venti cup whipped cream ice included white chocolate mocha sauce signature espresso roast milk,,,
Portland,Popeyes (8111 SE Foster Rd),2024-10-01T23:58:28.000Z,2024-10-02T00:22:40.000Z,completed,Blackened ranch sauce,1.0,,,,0.25,21.56,USD,"{'foster', 'popeyes'}",blackened ranch sauce,,blackened ranch sauce,,,
Portland,Popeyes (8111 SE Foster Rd),2024-10-01T23:58:28.000Z,2024-10-02T00:22:40.000Z,completed,Chocolate Chip Biscuit,1.0,1 Biscuit,0.0,,2.19,21.56,USD,"{'foster', 'popeyes'}",chocolate chip biscuit,biscuit,chocolate chip biscuit biscuit,,,
Portland,Subway (4328 SE 82nd Ave),2024-08-24T02:39:52.000Z,2024-08-24T03:09:13.000Z,completed,Grilled Chicken,1.0,"Provolone, Toasted, Creamy Sriracha, SubKrunch™, Hearty Multigrain, Red Onions, American Cheese, Lettuce, Jalapeños, Tomatoes, Green Peppers",0.0,,9.99,21.64,USD,"{'ave', 'subway'}",grilled chicken,provolone toasted creamy sriracha subkrunch hearty multigrain red onions american cheese lettuce jalapenos tomatoes green peppers,grilled chicken provolone toasted creamy sriracha subkrunch hearty multigrain red onions american cheese lettuce jalapenos tomatoes green peppers,,,
Portland,7-Eleven (9710 Se Foster Rd),2024-02-18T16:46:22.000Z,2024-02-18T17:16:32.000Z,completed,Reddy Ice Family pack Pure Ice Bag,1.0,,,,3.79,23.24,USD,"{'foster', 'eleven'}",reddy ice pure ice bag,,reddy ice pure ice bag,,,
Portland,7-Eleven (9710 Se Foster Rd),2024-02-18T16:46:22.000Z,2024-02-18T17:16:32.000Z,completed,Planters Heat Peanuts,5.0,,,,3.95,23.24,USD,"{'foster', 'eleven'}",planters heat peanuts,,planters heat peanuts,,,
Portland,Popeyes (8111 SE Foster Rd),2024-02-18T16:40:14.000Z,2024-02-18T17:16:32.000Z,completed,2pc Heart-Shaped Strawberry Biscuits,1.0,,,,4.29,27.65,USD,"{'foster', 'popeyes'}",heart shaped strawberry biscuits,,heart shaped strawberry biscuits,,,
Portland,Popeyes (8111 SE Foster Rd),2024-02-18T16:40:14.000Z,2024-02-18T17:16:32.000Z,completed,New! 12Pc Wings,1.0,"Sweet Heat, 6P Ghost Pepper Wings, Blackened Ranch, New! 12Pc Wings, A La Carte, 6Pc Sweet 'N Spicy Wings",0.0,,17.29,27.65,USD,"{'foster', 'popeyes'}",new wings,sweet heat ghost pepper wings blackened ranch new wings la carte sweet spicy wings,new wings sweet heat ghost pepper wings blackened ranch new wings la carte sweet spicy wings,,,
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-02-18T16:34:51.000Z,2024-02-18T16:46:49.000Z,canceled,Chips & Guacamole,1.0,Regular,0.0,,5.85,0.0,USD,"{'chipotle', 'powell', 'mexican', 'grill'}",chips and guacamole,,chips and guacamole,,,
Portland,Burgerville #4 - Montavilla/92nd & Glisan,2024-02-16T20:26:30.000Z,2024-02-16T21:15:11.000Z,completed,Blazin' Hot Pepper Crispy Chicken Sandwich,1.0,Add Face Rock White Cheddar,1.2,,8.49,29.27,USD,"{'burgerville', 'montavilla', 'glisan'}",blazin hot pepper crispy chicken sandwich,rock white cheddar,blazin hot pepper crispy chicken sandwich rock white cheddar,,,
Portland,Burgerville #4 - Montavilla/92nd & Glisan,2024-02-16T20:26:30.000Z,2024-02-16T21:15:11.000Z,completed,Truffle Parmesan Waffley Fries - Large,1.0,"No Parmesan, Ketchup",,,5.49,29.27,USD,"{'burgerville', 'montavilla', 'glisan'}",truffle parmesan waffley fries,ketchup,truffle parmesan waffley fries ketchup,,,
Portland,Ishtar Gate (SE Foster),2024-02-11T01:24:39.000Z,2024-02-11T02:19:43.000Z,canceled,Falafel Sandwich Combo(pita bread),1.0,,,,16.99,44.5,USD,"{'foster', 'ishtar', 'gate'}",falafel sandwich,,falafel sandwich,,,
Portland,Ishtar Gate (SE Foster),2024-02-11T01:24:39.000Z,2024-02-11T02:19:43.000Z,canceled,Chicken Shawarma Sandwich Combo (Saj bread),1.0,Mexican Coke (500ml),,Please make it spicy,16.99,44.5,USD,"{'foster', 'ishtar', 'gate'}",chicken shawarma sandwich,mexican coke,chicken shawarma sandwich mexican coke,,,
Portland,McDonald's® (Portland/82Nd),2024-02-07T22:10:22.000Z,2024-02-07T22:30:46.000Z,completed,Hot 'N Spicy McChicken® Meal,1.0,Hot 'N Spicy McChicken® Large Meal,1.1,,7.09,23.16,USD,"{'portland', 'mcdonald'}",hot spicy mcchicken,hot spicy mcchicken,hot spicy mcchicken hot spicy mcchicken,,,
Portland,McDonald's® (Portland/82Nd),2024-02-07T22:10:22.000Z,2024-02-07T22:30:46.000Z,completed,Creamy Ranch Sauce,1.0,,,,0.39,23.16,USD,"{'portland', 'mcdonald'}",creamy ranch sauce,,creamy ranch sauce,,,
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-02-05T19:10:56.000Z,2024-02-05T19:32:31.000Z,completed,Burrito Bowl,1.0,"Roasted Chili-Corn Salsa, Tomatillo-Green Chili Salsa, Black Beans, Pinto Beans, Tortilla on the Side, Tomatillo-Red Chili Salsa, Sour Cream, White Rice, Sofritas, Fresh Tomato Salsa, Cheese, Fajita Veggies, Romaine Lettuce, Extra Sofritas, Extra Portion",,,11.85,26.51,USD,"{'chipotle', 'powell', 'mexican', 'grill'}",burrito bowl,roasted chili corn salsa tomatillo green chili salsa black beans pinto beans tortilla tomatillo red chili salsa sour cream white rice sofritas fresh tomato salsa cheese fajita veggies romaine lettuce,burrito bowl roasted chili corn salsa tomatillo green chili salsa black beans pinto beans tortilla tomatillo red chili salsa sour cream white rice sofritas fresh tomato salsa cheese fajita veggies romaine lettuce,,,
Portland,Subway (4328 SE 82nd Ave),2024-02-02T00:55:48.000Z,2024-02-02T01:13:51.000Z,completed,#23 The Hotshot Italiano,1.0,50% More,2.0,,8.99,16.46,USD,"{'ave', 'subway'}",the hotshot italiano,more,the hotshot italiano more,,,
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-31T20:07:53.000Z,2024-01-31T20:30:11.000Z,completed,Tortilla on the Side,1.0,,,,0.65,23.5,USD,"{'chipotle', 'powell', 'mexican', 'grill'}",tortilla,,tortilla,,,
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-31T20:07:53.000Z,2024-01-31T20:30:11.000Z,completed,Tractor Organic Lemonade,1.0,,,,4.15,23.5,USD,"{'chipotle', 'powell', 'mexican', 'grill'}",tractor organic lemonade,,tractor organic lemonade,,,
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-29T13:09:34.000Z,2024-01-29T13:29:40.000Z,completed,Tractor Organic Black Tea,1.0,,,,4.15,23.19,USD,"{'chipotle', 'powell', 'mexican', 'grill'}",tractor organic black tea,,tractor organic black tea,,,
Portland,Dick's Primal Kitchen,2024-01-22T15:36:46.000Z,2024-01-22T16:08:58.000Z,completed,Iced Tea,1.0,,,,2.0,24.08,USD,"{'kitchen', 'primal', 'dick'}",iced tea,,iced tea,,,
Portland,Wendy's  (232 Ne 82Nd Ave),2024-01-21T22:46:18.000Z,2024-01-21T23:15:02.000Z,completed,Ghost Pepper Ranch Chicken Sandwich Combo,1.0,Large Combo,15.24,,0.0,20.28,USD,"{'wendy', 'ave'}",ghost pepper ranch chicken sandwich,,ghost pepper ranch chicken sandwich,,,
Portland,Jack in the Box (4242 Se 82Nd Ave),2024-01-20T20:10:47.000Z,2024-01-20T20:44:57.000Z,completed,Large Chicken Fajita Pita Combo,1.0,"Large Fanta®, Extra Salsa, Large French Fry, No Lettuce, Easy Tomato",0.0,,15.48,39.51,USD,"{'box', 'the', 'ave', 'jack'}",chicken fajita pita,fanta french fry easy tomato,chicken fajita pita fanta french fry easy tomato,,,
Portland,Jack in the Box (4242 Se 82Nd Ave),2024-01-20T20:10:47.000Z,2024-01-20T20:44:57.000Z,completed,Spicy Grilled Jack Wrap,1.0,"Easy Pickles, No Shredded Lettuce, Easy Ranch Sauce",0.0,,4.11,39.51,USD,"{'box', 'the', 'ave', 'jack'}",spicy grilled wrap,easy pickles lettuce easy ranch sauce,spicy grilled wrap easy pickles lettuce easy ranch sauce,,,
Portland,Starbucks (4500 Ne Glisan St),2024-01-19T13:14:05.000Z,2024-01-19T14:49:56.000Z,canceled,Iced Passion Tango® Tea Lemonade,2.0,"Tall Iced Passion Tango® Tea Lemonade, Lemonade, Ice",0.0,,9.5,0.0,USD,"{'glisan', 'starbucks'}",iced passion tango tea lemonade,tall iced passion tango tea lemonade ice,iced passion tango tea lemonade tall iced passion tango tea lemonade ice,,,
Portland,Subway (4328 SE 82nd Ave),2024-01-16T01:08:09.000Z,2024-01-16T01:08:33.000Z,canceled,Chocolate Chip,1.0,,,,1.09,0.0,USD,"{'ave', 'subway'}",chocolate chip,,chocolate chip,,,
Portland,Subway (4328 SE 82nd Ave),2024-01-16T01:08:09.000Z,2024-01-16T01:08:33.000Z,canceled,Spicy Italian,1.0,"Artisan Italian, Monterey Cheddar, Pickles, Cucumbers, Italian Herbs & Cheese, Jalapeños, Tomatoes, Baja Chipotle, Roasted Garlic Aioli, Sweet Onion Teriyaki, Red Onions, Parmesan Cheese, Lettuce, Green Peppers",0.0,,7.99,0.0,USD,"{'ave', 'subway'}",spicy italian,artisan italian monterey cheddar pickles cucumbers italian herbs and cheese jalapenos tomatoes baja chipotle roasted garlic aioli sweet onion teriyaki red onions parmesan cheese lettuce green peppers,spicy italian artisan italian monterey cheddar pickles cucumbers italian herbs and cheese jalapenos tomatoes baja chipotle roasted garlic aioli sweet onion teriyaki red onions parmesan cheese lettuce green peppers,,,
