City_Name,Restaurant_Name,Request_Time_Local,Final_Delivery_Time_Local,Order_Status,Item_Name,Item_quantity,Customizations,Customization_Cost_Local,Special_Instructions,Item_Price,Order_Price,Currency
Portland,Carl's Jr. (8205 SE Rhine St.),2025-03-01T01:04:56.000Z,2025-03-01T01:45:16.000Z,completed,Big Angus El Diablo Combo,1,"CHOOSE A DRINK, CHOOSE A SIDE, Coca-Cola®, Natural-Cut Fries, ADD EXTRA",0.0,"",18.24,22.24,USD
Portland,Carl's Jr. (8205 SE Rhine St.),2025-03-01T01:04:56.000Z,2025-03-01T01:45:16.000Z,completed,Big Angus El Diablo Combo,1,Medium,1.25,"",18.24,22.24,USD
Portland,Flavours Of India,2025-01-29T20:11:02.000Z,2025-01-29T21:00:35.000Z,completed,Dal Makhani,1,"",,"",16.99,34.53,USD
Portland,Flavours Of India,2025-01-29T20:11:02.000Z,2025-01-29T21:00:35.000Z,completed,Paneer Tikka Kabob,1,"",,"",17.99,34.53,USD
Portland,Chennai Masala (Hillsboro),2025-01-05T19:31:16.000Z,2025-01-05T20:28:16.000Z,completed,Idly Sambar,1,"",,"",8.5,31.7,USD
Portland,Chennai Masala (Hillsboro),2025-01-05T19:31:16.000Z,2025-01-05T20:28:16.000Z,completed,Mysore Masala Dosa,1,"",,"",17.0,31.7,USD
Portland,Gyro Kingdom (NE Davis),2024-12-01T02:37:08.000Z,2024-12-01T02:56:34.000Z,completed,Chicken shawarma gyro,1,Spicy Sauce,0.0,"",13.95,70.8,USD
Portland,Gyro Kingdom (NE Davis),2024-12-01T02:37:08.000Z,2024-12-01T02:56:34.000Z,completed,Chicken shawarma gyro,1,Chicken Shawarma,3.0,"",13.95,70.8,USD
Portland,Gyro Kingdom (NE Davis),2024-12-01T02:37:08.000Z,2024-12-01T02:56:34.000Z,completed,Crispy Fries,1,"",,"",9.95,70.8,USD
Portland,Gyro Kingdom (NE Davis),2024-12-01T02:37:08.000Z,2024-12-01T02:56:34.000Z,completed,Chicken Shawarma Plate,1,"",,"",17.95,70.8,USD
Portland,Gyro Kingdom (NE Davis),2024-12-01T02:37:08.000Z,2024-12-01T02:56:34.000Z,completed,Falafel Over Rice Plate,2,"",,"",35.9,70.8,USD
Portland,Jack in the Box (4242 Se 82Nd Ave),2024-11-28T01:09:36.000Z,2024-11-28T01:18:20.000Z,completed,Jack's Spicy Chicken® w/ Cheese,1,Extra Swiss Cheese,0.75,"",10.61,25.05,USD
Portland,Jack in the Box (4242 Se 82Nd Ave),2024-11-28T01:09:36.000Z,2024-11-28T01:18:20.000Z,completed,Onion Rings,1,"",,"",6.24,25.05,USD
Portland,Jack in the Box (4242 Se 82Nd Ave),2024-11-28T01:09:36.000Z,2024-11-28T01:18:20.000Z,completed,Jack's Spicy Chicken® w/ Cheese,1,Easy Tomato,0.0,"",10.61,25.05,USD
Portland,McDonald's® (Portland/82Nd),2024-11-25T01:15:30.000Z,2024-11-25T01:56:29.000Z,completed,Deluxe Spicy McCrispy™,1,"McCrispy™ Filet, Crinkle Cut Pickle, Shredded Lettuce, Potato Roll, Roma Tomato - 3 Slices, Spicy Pepper Sauce",0.0,"",7.09,12.77,USD
Portland,McDonald's® (Portland/82Nd),2024-11-25T01:15:30.000Z,2024-11-25T01:56:29.000Z,completed,Medium French Fries,2,"Salt, Medium French Fries",0.0,"",7.98,12.77,USD
Portland,McDonald's® (Portland/82Nd),2024-11-14T00:44:00.000Z,2024-11-14T01:03:36.000Z,completed,Chicken Big Mac® Meal,1,Chicken Big Mac® Meal Large,1.5,"",11.19,16.15,USD
Portland,McDonald's® (Portland/82Nd),2024-11-14T00:44:00.000Z,2024-11-14T01:03:36.000Z,completed,Chicken Big Mac® Meal,1,"Shredded Lettuce, Salt, Big Mac® Chicken Patty, Large Diet Coke®, American Cheese, Ice, Big Mac® Bun, Pickle, Mac Sauce",0.0,"",11.19,16.15,USD
Portland,Shake Shack (West End Portland),2024-11-12T22:00:23.000Z,2024-11-12T22:40:08.000Z,completed,Fountain Soda,1,Large Diet Coke,0.6,"",4.19,29.07,USD
Portland,Shake Shack (West End Portland),2024-11-12T22:00:23.000Z,2024-11-12T22:40:08.000Z,completed,SmokeShack,2,Double,3.0,"",21.78,29.07,USD
Portland,Starbucks (10215 Se Stark St),2024-11-07T01:24:09.000Z,2024-11-07T01:59:19.000Z,completed,Tomato & Mozzarella on Focaccia,1,Sriracha,0.0,"",8.25,19.95,USD
